threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
0.59,0.7428291247854867,0.6876484560570071,0.42417582417582417,0.5246941549614862,0.806040446902643,0.640498971308562
0.595,0.7405001225790635,0.6879215205395462,0.41098901098901097,0.5145608805319881,0.806040446902643,0.640498971308562
0.6,0.7382936994361363,0.6881720430107527,0.39853479853479856,0.504755277197866,0.806040446902643,0.640498971308562
0.605,0.7380485413091444,0.6941715782580222,0.3882783882783883,0.4980032887009631,0.806040446902643,0.640498971308562
0.61,0.7367001716106889,0.6976902173913043,0.3761904761904762,0.4888148500713946,0.806040446902643,0.640498971308562
0.615,0.7358421181662173,0.7034677990092003,0.3641025641025641,0.4798455225681873,0.806040446902643,0.640498971308562
0.62,0.7329002206423143,0.7030213706705969,0.34945054945054943,0.46684609738194277,0.806040446902643,0.640498971308562
0.625,0.7302034812454032,0.7039321511179646,0.3344322344322344,0.45343928482741497,0.806040446902643,0.640498971308562
0.63,0.7278744790389802,0.7036741214057508,0.32271062271062273,0.44249121044701156,0.806040446902643,0.640498971308562
0.635,0.725545476832557,0.7057837384744342,0.30842490842490844,0.42926331888860564,0.806040446902643,0.640498971308562
0.6399999999999999,0.7224810002451582,0.7029616724738676,0.2956043956043956,0.4161939143888602,0.806040446902643,0.640498971308562
0.6449999999999999,0.720151998038735,0.7033666969972703,0.28315018315018314,0.4037607730477932,0.806040446902643,0.640498971308562
0.6499999999999999,0.717455258641824,0.7045235803657363,0.2681318681318681,0.38843194481294774,0.806040446902643,0.640498971308562
0.6549999999999999,0.7169649423878401,0.7115577889447237,0.25934065934065936,0.3801342281879195,0.806040446902643,0.640498971308562
0.6599999999999999,0.7162294680068644,0.7191129883843717,0.24945054945054945,0.3704106608648355,0.806040446902643,0.640498971308562
0.6649999999999999,0.7140230448639372,0.7208008898776418,0.23736263736263735,0.3571231744282171,0.806040446902643,0.640498971308562
0.6699999999999999,0.7134101495464574,0.727906976744186,0.2293040293040293,0.34874651810584956,0.806040446902643,0.640498971308562
0.6749999999999999,0.711939200784506,0.7305825242718447,0.2205128205128205,0.33877321328081034,0.806040446902643,0.640498971308562
0.6799999999999999,0.7101005148320667,0.7295597484276729,0.21245421245421245,0.32907801418439714,0.806040446902643,0.640498971308562
0.6849999999999999,0.7069134591811719,0.7250996015936255,0.2,0.31352282515073215,0.806040446902643,0.640498971308562
0.69,0.7054425104192203,0.7261410788381742,0.19230769230769232,0.3040834057341442,0.806040446902643,0.640498971308562
0.695,0.7043392988477568,0.7345132743362832,0.1824175824175824,0.29225352112676056,0.806040446902643,0.640498971308562
0.7,0.7039715616572689,0.7441860465116279,0.17582417582417584,0.28444444444444444,0.806040446902643,0.640498971308562
0.705,0.7018877175778377,0.7442622950819672,0.1663003663003663,0.2718562874251497,0.806040446902643,0.640498971308562
0.71,0.7005393478793822,0.7504363001745201,0.1575091575091575,0.2603693611867999,0.806040446902643,0.640498971308562
0.715,0.6980877666094631,0.7504690431519699,0.14652014652014653,0.2451731535396874,0.806040446902643,0.640498971308562
0.72,0.6969845550379995,0.7569721115537849,0.1391941391941392,0.23514851485148514,0.806040446902643,0.640498971308562
0.725,0.6952684481490562,0.7563025210084033,0.13186813186813187,0.22457891453524642,0.806040446902643,0.640498971308562
0.73,0.6935523412601128,0.7613636363636364,0.1227106227106227,0.2113564668769716,0.806040446902643,0.640498971308562
0.735,0.692816866879137,0.7654028436018957,0.11831501831501831,0.2049492385786802,0.806040446902643,0.640498971308562
0.74,0.6911007599901937,0.7651515151515151,0.11098901098901098,0.19385796545105566,0.806040446902643,0.640498971308562
0.7449999999999999,0.6887717577837705,0.7630853994490359,0.10146520146520147,0.17911412867765922,0.806040446902643,0.640498971308562
0.7499999999999999,0.6873008090218191,0.7671641791044777,0.09413919413919414,0.16769983686786297,0.806040446902643,0.640498971308562
0.7549999999999999,0.6861975974503555,0.7741935483870968,0.08791208791208792,0.15789473684210525,0.806040446902643,0.640498971308562
0.7599999999999999,0.6842363324344202,0.7711267605633803,0.08021978021978023,0.1453218314532183,0.806040446902643,0.640498971308562
0.7649999999999999,0.6828879627359647,0.782608695652174,0.07252747252747253,0.13275226282266175,0.806040446902643,0.640498971308562
